build_y,year,month,day,dong,bo_price,mo_price,apt_nm,size,jibun,ji_code,floor
2017,2021,8,15, 효창동,"    22,000",         0,127-10,27.14,127-10,11170,3
2021,2021,8,17, 효창동,"    28,000",         0,(5-152),28.93,5-152,11170,1
2015,2021,8,18, 효창동,"    25,000",         0,금와주택,29.47,5-291,11170,5
2007,2021,8,18, 효창동,"    22,050",         0,한서빌라(5-300),38.66,5-300,11170,1
2016,2021,8,20, 효창동,"    26,250",         0,효창밸류A동,28.18,5-84,11170,4
2021,2021,8,21, 효창동,"    26,000",         0,(5-152),28.69,5-152,11170,1
2021,2021,8,21, 효창동,"    30,000",         0,(5-152),29.86,5-152,11170,2
2019,2021,8,23, 효창동,"    17,800",         0,효창신비빌A,27.08,2-41,11170,1
2021,2021,8,23, 효창동,"    28,000",         0,(5-152),29.52,5-152,11170,2
1994,2021,8,23, 효창동,"    25,000",         0,한빛하이츠(B),79.23,5-748,11170,-1
2017,2021,8,25, 효창동,"    24,500",         0,대명팰리스(5-88),28.3,5-88,11170,3
2013,2021,8,26, 효창동,"    13,000",         0,5-222,13.95,5-222,11170,4
1991,2021,8,26, 효창동,"    29,300",        40,보람빌리지,68.48,5-44,11170,2
1982,2021,8,28, 효창동,"    14,000",         0,효원,60.66,260,11170,-1
2013,2021,8,2, 용문동,"     1,000",        47,한강타운,12.91,25-12,11170,2
2013,2021,8,4, 용문동,"    13,500",         0,정원프라임빌,16.87,32-42,11170,4
2018,2021,8,6, 용문동,"     3,000",        85,그랑쎄빌,29.87,1-90,11170,2
2013,2021,8,7, 용문동,       500,        45,그레이스빌(28-68),12.19,28-68,11170,2
2019,2021,8,7, 용문동,"    24,150",         0,한스빌,26.83,5,11170,2
2019,2021,8,7, 용문동,"    23,000",         0,미샹보르3차,29.92,38-51,11170,3
2021,2021,8,7, 용문동,"     2,000",        50,(8-140),17.31,8-140,11170,2
1991,2021,8,9, 용문동,"    28,650",         0,로즈빌라,71.43,38-101,11170,1
2017,2021,8,9, 용문동,"    16,000",         0,라온빌A동,17.38,5-134,11170,5
2021,2021,8,11, 용문동,"    16,000",         0,(8-140),17.85,8-140,11170,4
2018,2021,8,11, 용문동,"    20,000",         0,미래위너스(8-34),28.98,8-34,11170,2
1991,2021,8,12, 용문동,"    33,600",         0,로즈빌라,79.27,38-101,11170,2
2017,2021,8,13, 용문동,"    22,000",         2,LK센트레뷰,28.92,1-79,11170,4
2017,2021,8,14, 용문동,"    18,900",         0,둥지Vill,36.34,38-258,11170,5
2018,2021,8,14, 용문동,"    25,200",         0,美.샹보르-1,28.16,38-153,11170,5
2019,2021,8,16, 용문동,"    22,050",         0,한스빌,26.83,5,11170,3
2014,2021,8,17, 용문동,"    21,000",         0,(38-180),45.255,38-180,11170,3
2014,2021,8,17, 용문동,"    22,000",         0,(38-180),45.255,38-180,11170,3
2019,2021,8,18, 용문동,"    21,000",         0,세종프라임빌,28.14,38-61,11170,3
2021,2021,8,21, 용문동,"    25,000",         0,스마트힐,27.88,38-255,11170,2
2008,2021,8,23, 용문동,"    15,750",         0,시티빌,50.16,38-123,11170,1
2017,2021,8,11, 문배동,"    35,000",         0,용산리브,36.96,10-3,11170,16
2015,2021,8,4, 신계동,"    22,000",         0,용산파크빌,28.4,8-6,11170,2
2016,2021,8,5, 신계동,"    23,100",         0,용산파크빌A동,29.57,12-17,11170,5
2016,2021,8,6, 신계동,"    15,750",         0,제나스위트하우스,20.06,8-3,11170,4
2016,2021,8,7, 신계동,"    16,530",         0,제나스위트하우스,20.06,8-3,11170,5
2007,2021,8,14, 신계동,"    20,000",         0,(1-216),29.52,1-216,11170,2
2015,2021,8,17, 신계동,"     5,000",        80,용산파크빌,26.41,8-6,11170,3
2015,2021,8,30, 신계동,"    24,100",         0,용산파크빌,26.41,8-6,11170,3
2002,2021,8,3, 한강로1가,"    35,000",         0,리버탑빌,53.28,291-1,11170,3
2016,2021,8,20, 한강로1가,"    16,000",         0,(216-15),14.52,216-15,11170,2
1971,2021,8,9, 이촌동,       200,        70,영진빌라,76.53,203-38,11170,3
1972,2021,8,10, 이촌동,"     5,000",        25,(301-153),111.84,301-153,11170,3
1996,2021,8,2, 이태원동,"    15,000",        60,성은빌라,42.13,210-13,11170,4
2020,2021,8,6, 이태원동,"     2,000",       200,에어 247 남산,29.8,247-17,11170,4
2020,2021,8,13, 이태원동,"    33,000",         0,에어 247 남산,26.85,247-17,11170,2
2007,2021,8,13, 이태원동,"    11,000",         0,(258-269),23.04,258-269,11170,2
2002,2021,8,14, 이태원동,       500,        45,성도스카이빌,51.32,131-4,11170,3
1993,2021,8,14, 이태원동,"    30,000",         0,삼원빌라,59.88,212-26,11170,4
1984,2021,8,16, 이태원동,"     2,000",        32,(15-57),40.71,15-57,11170,1
2021,2021,8,19, 이태원동,"    36,000",         0,에어181파크,26.51,181-40,11170,2
2021,2021,8,26, 이태원동,"    35,500",         0,에어181파크,27.6,181-40,11170,3
1977,2021,8,28, 이태원동,"     1,000",        60,(223-1),77.88,223-1,11170,1
1992,2021,8,2, 한남동,"    10,000",         0,(732-132),32.74,732-132,11170,2
2003,2021,8,2, 한남동,"     1,800",       600,(657-168),124.57,657-168,11170,2
2021,2021,8,10, 한남동,"    53,000",         0,디케이밸리뷰한남,24.43,113-2,11170,10
1998,2021,8,10, 한남동,"   140,000",         0,Street of Dream1,113.73,653-44,11170,4
2013,2021,8,19, 한남동,"    20,000",       787,상월대 2동,150.79,11-411,11170,2
1993,2021,8,19, 한남동,"   100,000",         0,(312-11),129.31,312-11,11170,4
2003,2021,8,24, 한남동,"    10,000",        90,(682-11),74.95,682-11,11170,3
2003,2021,8,28, 한남동,"    10,000",        90,(682-11),74.95,682-11,11170,3
1999,2021,8,28, 한남동,"    73,500",         0,CHESRER 빌,136.12,657-28,11170,3
1990,2021,8,18, 동빙고동,"    18,000",         0,(147-0),53.13,147,11170,1
2018,2021,8,18, 동빙고동,"    65,000",         0,프리젠카운티,53.58,1-76,11170,1
2018,2021,8,18, 동빙고동,"    65,000",         0,프리젠카운티,53.58,1-76,11170,1
2009,2021,8,18, 서빙고동,"    45,000",         0,(198-1),61.19,198-1,11170,4
2017,2021,8,30, 서빙고동,"    30,500",         0,용산파크빌라,41.07,4-140,11170,5
2004,2021,8,12, 보광동,"    18,000",         0,(8-5),70.74,8-5,11170,4
1996,2021,8,13, 보광동,"     3,500",        30,은하빌라,28.88,399-2,11170,3
